ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.1,204.89,20791.319,7.3,368.516,564.309,10.38,86.991,2.963,0
3.7,129.423,18630.058,6.635,333.776,592.885,15.18,56.329,4.501,0
8.1,224.236,19909.542,9.276,333.776,418.606,16.869,66.42,3.056,0
8.3,214.373,22018.417,8.059,356.886,363.267,18.437,100.342,4.629,0
9.1,181.102,17978.986,6.547,310.136,398.411,11.558,31.998,4.075,0
5.6,188.313,28748.688,7.545,326.678,280.468,8.4,54.918,2.56,0
10.2,248.072,28749.717,7.513,393.663,283.652,13.79,84.604,2.673,0
8.6,203.362,13672.092,4.563,303.31,474.608,12.364,62.798,4.401,0
7.1,118.989,14285.584,7.804,268.647,389.376,12.706,53.929,3.595,0
11.2,227.231,25484.508,9.077,404.042,563.885,17.928,71.977,4.371,0
7.4,165.521,32452.614,7.551,326.624,425.383,15.587,78.74,3.662,0
8.0,218.693,18767.657,8.11,333.776,364.098,14.526,76.486,4.012,0
7.1,156.705,18730.814,3.606,282.344,347.715,15.93,79.501,3.446,0
7.1,150.175,27331.362,6.838,299.416,379.762,19.371,76.51,4.414,0
7.5,205.345,28388.005,5.073,333.776,444.645,13.228,70.3,4.777,0
6.3,186.733,41065.235,9.63,364.488,516.743,11.54,75.072,4.376,0
7.1,211.049,30980.601,10.095,333.776,315.141,20.397,56.652,4.268,0
9.2,273.814,24041.326,6.905,398.351,477.975,13.387,71.457,4.504,0
9.0,279.357,19460.398,6.204,333.776,431.444,12.889,63.821,2.436,0
7.4,214.497,25630.32,4.433,335.754,469.915,12.509,62.797,2.56,0
7.1,227.435,22305.567,10.334,333.776,554.82,16.332,45.383,4.133,0
6.7,168.284,30944.364,5.859,310.931,523.671,17.884,77.042,3.75,0
7.1,215.978,17107.224,5.607,326.944,436.256,14.189,59.855,5.459,0
3.9,196.903,21167.5,6.996,333.776,444.479,16.609,90.182,4.529,0
5.4,140.739,17266.593,10.057,328.358,472.874,11.256,56.932,4.825,0
6.5,198.767,21218.703,8.671,323.596,413.29,14.9,79.848,5.201,0
3.4,207.926,33424.769,8.782,384.007,441.786,13.806,30.285,4.184,0
7.1,145.768,13224.936,7.906,304.002,298.991,12.73,49.537,4.005,0
7.1,266.421,26362.965,7.7,395.389,364.48,10.349,53.008,3.992,0
7.1,148.153,15193.413,9.047,307.012,563.805,16.569,52.676,6.038,0
7.2,209.626,15196.23,5.995,338.336,342.111,7.923,71.538,5.089,0
9.8,190.757,19677.892,6.758,333.776,452.836,16.899,47.082,2.857,0
10.4,117.791,22326.892,8.162,307.708,412.987,12.891,65.733,5.057,0
7.4,235.045,32555.853,6.846,387.175,411.983,10.245,44.489,3.161,0
7.1,232.28,14787.206,5.475,333.776,383.982,12.167,86.081,5.029,0
5.1,191.953,19620.545,6.061,323.836,441.748,10.966,49.238,3.902,0
3.6,183.909,24752.072,5.538,286.06,456.86,9.034,73.595,3.464,0
5.6,304.236,17281.975,6.101,333.776,399.472,12.265,81.589,2.897,0
7.1,143.454,19942.273,5.891,333.776,427.131,22.47,53.124,2.908,0
9.3,198.614,24683.724,6.111,328.078,396.877,16.472,30.383,4.324,0
7.1,233.859,11703.924,4.599,309.039,349.4,18.339,42.677,3.51,0
5.3,194.874,16658.877,7.994,316.675,335.12,10.181,59.573,4.435,0
7.1,238.69,28780.34,6.814,385.976,332.033,11.093,66.138,5.183,0
9.9,202.817,9973.934,6.882,337.351,333.192,23.918,71.834,4.691,0
4.8,183.349,21568.429,4.731,333.776,403.944,18.668,66.912,4.543,0
5.7,216.85,35606.44,7.184,333.776,504.638,16.141,77.536,4.138,0
7.0,209.638,10575.186,4.463,315.607,391.184,13.285,87.391,3.196,0
10.7,173.375,15758.741,5.571,307.353,323.808,10.091,78.473,4.0,0
7.1,129.891,34415.853,6.322,304.535,470.329,18.599,72.404,4.406,0
8.8,200.191,21536.225,4.915,317.883,404.718,13.768,47.931,3.626,0
7.1,168.388,27492.307,7.046,299.82,383.795,16.182,75.729,3.048,0
7.8,100.458,12013.551,5.212,247.201,605.22,9.611,66.084,2.447,0
6.7,145.01,19871.788,4.961,288.052,545.975,10.942,71.727,3.742,0
9.1,211.714,11920.611,7.231,339.752,527.709,18.275,47.635,3.795,0
10.6,181.893,21783.651,6.991,340.39,456.556,16.483,34.252,3.965,0
7.5,260.092,30616.615,9.379,333.776,404.671,15.934,66.621,4.781,0
8.5,238.335,28779.65,8.283,381.649,481.319,6.016,39.091,3.941,0
5.0,190.287,24323.866,7.23,324.893,405.33,8.237,99.427,4.461,0
7.1,157.801,16963.625,8.336,300.044,360.996,12.824,71.717,4.405,0
7.1,155.056,20557.24,8.187,333.776,290.181,16.622,59.622,4.09,0
3.9,233.403,32144.8,6.995,348.359,269.449,9.654,63.743,3.903,0
6.4,213.018,20965.478,5.376,327.651,369.338,13.758,17.916,3.924,0
7.1,229.486,35729.693,8.811,384.944,296.398,16.927,66.396,3.856,0
8.7,195.144,24656.24,8.232,333.776,398.345,12.381,48.441,4.478,0
8.1,127.74,32653.91,6.534,333.776,416.24,11.12,78.275,4.069,0
6.2,212.307,21815.074,7.874,333.776,362.108,14.933,63.874,5.216,0
5.1,238.569,34873.935,8.983,374.434,669.725,13.353,76.522,5.107,0
7.1,103.465,27420.167,8.417,333.776,485.975,11.351,67.87,4.621,0
7.1,211.201,12830.484,4.502,326.962,333.33,16.045,49.898,3.44,0
7.3,179.89,24964.778,5.837,349.269,501.183,17.288,50.993,3.636,0
7.2,183.089,6743.346,3.803,277.599,428.036,9.8,90.035,3.885,0
5.7,116.299,33223.582,7.051,297.078,504.379,9.002,48.147,4.158,0
6.2,130.944,19460.383,7.092,300.131,556.654,14.084,57.897,5.326,0
8.7,242.229,22984.051,7.519,333.776,352.943,18.704,69.908,3.873,0
7.1,219.301,14859.466,5.598,344.442,425.214,15.772,49.352,4.656,0
6.9,211.36,25650.778,6.766,333.776,383.014,13.935,90.523,5.023,0
3.5,158.732,23029.664,6.822,286.523,307.379,9.712,79.851,3.763,0
3.7,163.64,37962.168,6.685,326.694,467.563,14.567,50.578,3.663,0
6.5,176.684,24468.048,5.757,314.8,477.581,16.246,57.73,2.293,0
7.3,217.523,31903.4,9.865,376.938,425.913,8.993,69.509,3.508,0
1.8,233.764,28689.596,7.724,333.776,410.387,15.612,54.299,5.013,0
5.5,168.729,12531.602,7.731,333.776,443.57,18.099,66.396,3.759,0
7.4,204.962,9566.122,6.506,311.453,504.146,11.532,81.107,3.772,0
6.0,258.953,27267.982,7.649,383.657,514.119,12.257,82.47,2.995,0
6.4,133.834,23827.275,5.128,266.908,573.4,9.834,95.027,4.191,0
6.2,195.418,13116.708,7.879,333.776,417.242,7.508,70.547,3.613,0
6.8,232.075,27159.384,7.885,350.445,465.414,13.864,64.812,4.917,0
9.9,199.181,21470.278,6.8,329.178,430.508,15.966,59.292,3.386,0
10.2,300.292,12652.363,6.655,398.648,487.459,9.348,67.92,5.002,0
8.7,206.37,28608.052,6.325,377.405,506.938,13.554,42.381,2.555,0
7.1,197.98,17153.306,7.659,329.28,575.115,11.871,69.11,4.384,0
7.1,199.108,29721.912,6.87,357.303,420.71,9.227,55.294,3.355,0
6.1,237.92,20416.841,8.458,333.776,291.105,19.27,93.138,3.173,0
9.0,253.217,27965.072,6.588,373.553,588.32,16.146,59.124,2.019,0
7.0,203.147,11609.109,5.496,304.283,551.143,9.388,55.958,3.652,0
6.1,197.876,26687.874,7.587,329.232,548.073,15.836,41.264,5.359,0
7.1,220.671,23873.378,6.182,341.987,333.051,10.662,90.298,4.765,0
5.5,135.802,21485.153,8.187,280.603,441.331,14.86,88.287,5.067,0
7.2,120.328,24627.868,6.202,289.769,418.433,13.643,63.734,3.71,0
9.2,163.275,20868.331,7.726,320.421,426.994,10.214,62.431,3.109,0
4.3,166.838,24405.251,7.392,297.207,349.519,13.479,54.475,3.764,0
